date,tweet,hashtags,account,Mylabel,label
2020-10-08,"4 million Canadians have downloaded the #COVIDAlert app. 📱 How fast can we get to 5 million? Download it today: https://t.co/fzxaMSbCpO
#COVID19 https://t.co/4cuBuj74Bn","['covidalert', 'covid19']",govcanhealth,increas,equal
2020-10-08,"The #COVIDAlert app has launched in #PrinceEdwardIsland. The app will notify you if you’ve recently been exposed #COVID19.
Download it today:
Apple: https://t.co/2mDEfhTLoC
Android: https://t.co/tw0mE95NvQ https://t.co/2iDLW6iulf","['covidalert', 'princeedwardisland', 'covid19']",govcanhealth,increas,equal
2020-10-08,"Do you have a #mask? Choosing a reusable mask rather than a disposable one is better for the #environment and can help you reduce the spread of #COVID19. Buy one or make your own. It’s easy! More:
https://t.co/RMx8zxKKvj https://t.co/XTBFlgXJuQ","['mask', 'environment', 'covid19']",govcanhealth,increas,equal
2020-10-08,Thanksgiving is a time for family and a time for thanks. Enjoy time with your in-person bubble this holiday. Help limit the spread of #COVID19 and keep each other safe. https://t.co/OtklgRSzLx https://t.co/E8dkrYd1v1,['covid19'],govcanhealth,increas,equal
2020-10-08,"#COVIDAlertFact: ✔️ The app is compatible with 92% of phones in use in Canada.  It’s easy to use and install. As it becomes available in your region, it’s one of the many things you can do to help slow the spread of #COVID19: https://t.co/2ex4Z48XFr https://t.co/HQE0A5YwR3","['covidalertfact', 'covid19']",govcanhealth,increas,equal
2020-10-07,"The #COVIDAlert app now has over 3.9 million downloads, 6 provinces on board and 984 one-time keys entered. Find out more about the app usage:
https://t.co/qxhmy0bX7v
#COVID19 https://t.co/IF76wr2MO1","['covidalert', 'covid19']",govcanhealth,increas,increase
2020-10-07,#COVIDAlertFact: ✔️ The app only detects if you’ve had contact with someone who’s reported positive to the app. It doesn’t track any personal info or location. Help slow the spread of #COVID19: https://t.co/K7x517I65S https://t.co/RnRsHZ1LiC,"['covidalertfact', 'covid19']",govcanhealth,increas,increase
2020-10-07,"We’re looking for virtual community-based projects that will help address the challenges of #COVID19 for people living with #dementia and caregivers in Canada. 

For more information on eligibility and  how to submit a proposal, visit: https://t.co/DRKxXS9TIo https://t.co/9E4hM3g0OJ","['covid19', 'dementia']",govcanhealth,increas,increase
2020-10-07,Traveling for the holidays? Remember to wear your mask when traveling and practice #PhysicalDistancing. Stay updated with your local public health guidelines and stay home if you’re feeling sick. #TravelSafe https://t.co/g79jQbZtoe https://t.co/8S0O2nwR5V,"['physicaldistancing', 'travelsafe']",govcanhealth,increas,increase
2020-10-07,"Stay updated so you can make informed decisions.
Check out #COVIDTrends to instantly get a snapshot #COVID19 cases and deaths in your region from the past 14 days. 
https://t.co/2nIAyRy9Ol https://t.co/titHynQE2f","['covidtrends', 'covid19']",govcanhealth,increas,increase
2020-10-07,"#Quebec - protect your community by downloading the #COVIDAlert exposure notification app. You will receive an alert if you've been exposed to #COVID19.
Available on Apple: https://t.co/pE8ccNcItq
and Android: https://t.co/uZenJnSBI7 https://t.co/PWMwRb8d2f","['quebec', 'covidalert', 'covid19']",govcanhealth,increas,increase
2020-10-07,Text messages promoting #COVIDAlert were sent to certain Quebec residents in English only by certain cell phone companies. We have asked them to correct the situation.,['covidalert'],govcanhealth,increas,increase
2020-10-06,"Are you in a province or territory that hasn't onboarded the #COVIDAlert app yet? Download it today so when your province is on board, you will be too! https://t.co/FEi5wmCn3r
#COVID19 https://t.co/GUsXmpfawu","['covidalert', 'covid19']",govcanhealth,decreas,decrease
2020-10-06,LIVE: Federal ministers and health officials provide #COVID19 update https://t.co/XsyJdtpopb,['covid19'],govcanhealth,decreas,decrease
2020-10-05,"The #COVIDAlert app has launched in #Quebec. Get notified if you've been exposed to #COVID19 and protect your community.
Download it today. 📲
Apple: https://t.co/DPZbvOHPi9
Android: https://t.co/EiIKn0Sa3A https://t.co/588c9NuQlg","['covidalert', 'quebec', 'covid19']",govcanhealth,decreas,decrease
2020-10-05,"Heading out? Consider using a reusable #mask instead of a disposable one! Not only can they help reduce the spread of #COVID19, they can help minimize your impact on the #environment. More: https://t.co/30NukQkOIz https://t.co/oAZeYxldwm","['mask', 'covid19', 'environment']",govcanhealth,decreas,decrease
2020-10-05,"@guramritpal_Dr Hi, Since the app first launched, 800 people have voluntarily input their one-time key to notify others around them after testing positivefor COVID-19.",[],govcanhealth,decreas,decrease
