date,tweet,hashtags,account,Mylabel,label
2020-09-01,LIVE: Federal health officials provide COVID-19 update. https://t.co/854svlEXru,[],govcanhealth,NoChange,equal
2020-09-01,"@Iam_AbhiSaini @CanBorder (2/4) If you arrive in Canada &amp; have started your 14 day mandatory quarantine / isolation but then have to leave the country before this period ends, you must:
•continue to quarantine or isolate until you depart Canada
•wear a non medical mask/face covering while around others",[],govcanhealth,NoChange,equal
2020-09-01,"@Iam_AbhiSaini @CanBorder (1/4) The Emergency Order requires all persons entering Canada, including returning Canadians, to isolate for 14 days if they have symptoms of COVID-19 or to quarantine for 14 days if they don’t have symptoms. This includes trips of short duration.",[],govcanhealth,NoChange,equal
2020-09-01,"@Iam_AbhiSaini @CanBorder (2/4) If you arrive in Canada &amp; have started your 14 day mandatory quarantine / isolation but then have to leave the country before this period ends, you must:
•continue to quarantine or isolate until you depart Canada
•wear a non medical mask/face covering while around others",[],govcanhealth,NoChange,equal
2020-09-01,"@Iam_AbhiSaini @CanBorder (1/4) The Emergency Order requires all persons entering Canada, including returning Canadians, to isolate for 14 days if they have symptoms of COVID-19 or to quarantine for 14 days if they don’t have symptoms. This includes trips of short duration.",[],govcanhealth,NoChange,equal
2020-08-31,@ecopsey (2/2) COVID Alert is just one tool among a suite of tools and guidance being used by the Government of Canada to help limit the spread of COVID-19.,[],govcanhealth,decreas,decrease
2020-08-31,"@ecopsey (1/2) Since its launch, the app has been downloaded over 2.1 million times. At this early stage of implementation, we continue to work with the provinces and territories to onboard COVID Alert so all Canadians can benefit.",[],govcanhealth,decreas,decrease
2020-08-31,"Today is International Overdose Awareness Day.

During #COVID19, many areas of 🇨🇦 are reporting ↑ #opioid-related overdoses, affecting our families, friends and neighbours.

Learn the signs and symptoms: https://t.co/D5SYJ1byYx
#IOAD2020 #EndOverdose https://t.co/76FITPGAZS","['covid19', 'opioid', 'ioad2020', 'endoverdose']",govcanhealth,decreas,decrease
2020-08-31,"Blood donations are still needed during the #COVID19 pandemic. Book a safe appointment and become a #BloodDonor: 
https://t.co/4COhgfjRJZ https://t.co/UYks6gBLQF","['covid19', 'blooddonor']",govcanhealth,decreas,decrease
2020-08-29,"Heat illnesses are preventable. During extreme heat, the most important thing is to keep cool and hydrated while you continue #physicaldistancing during #COVID19.

Learn how to prevent and recognize heat-related illnesses, like #heatstroke, by visiting: https://t.co/zs6XTQDshX https://t.co/ypcjUh0mpb","['physicaldistancing', 'covid19', 'heatstroke']",govcanhealth,decreas,equal
2020-08-28,@Mohaleem_Abdul (5/5) Please consult the following page for information for travellers without symptoms of COVID-19 returning to Canada: https://t.co/Jnbr6MisPs,[],govcanhealth,decreas,equal
2020-08-28,"Let’s keep protecting ourselves and others. Get the COVID Alert app so that, together, we can limit the spread of COVID-19. Download it here: https://t.co/l7w6ZRNr6M",[],govcanhealth,decreas,equal
2020-08-28,"Let’s do our part to stay ahead of the virus.  Get the COVID Alert app so that, together, we can limit the spread of COVID-19. Download it here: https://t.co/l7w6ZS51Yk",[],govcanhealth,decreas,equal
2020-08-28,"We need your help to contain the virus.  Get the COVID Alert app so that, together, we can limit the spread of COVID-19. Download it here: https://t.co/l7w6ZRNr6M",[],govcanhealth,decreas,equal
2020-08-28,LIVE: Federal health officials provide COVID-19 update https://t.co/dVyFRo1XYs,[],govcanhealth,decreas,equal
2020-08-28,"Is your child burning off energy jumping on your trampoline during #COVID19? Always supervise your child to avoid serious injuries. Kids under six should not use a trampoline, even when supervised.

Learn more: https://t.co/djyW06Ot4n #backyardsafety #trampolinesafety https://t.co/iZf67RNvbv","['covid19', 'backyardsafety', 'trampolinesafety']",govcanhealth,decreas,equal
2020-08-28,"@MH30505831 @StatCan_eng @MH30505831 @StatCan_eng Hi, Symptoms of COVID-19 can vary from person to person. Symptoms may also vary in different age groups. To learn more about COVID-19 symptoms visit: https://t.co/krrvAIbspm",[],govcanhealth,decreas,equal
2020-08-28,"@jenjonesQTRaven @jenjonesQTRaven (1/2) Hi, On May 12, Health Canada authorized the first COVID-19 serological test for use in Canada. Under the leadership of Canada’s COVID-19 Immunity Task Force",[],govcanhealth,decreas,equal
2020-08-28,@CobbDeveza @CobbDeveza The safety and efficacy of treatment of hydroxychloroquine is currently being investigated in clinical trials. Learn more about treatments being developed for COVID-19: https://t.co/LEmZSc9rTn,[],govcanhealth,decreas,equal
2020-08-26,"Putting yourself at risk puts everyone at risk. 

Help limit the spread of COVID-19.",[],govcanhealth,NoChange,equal
2020-08-26,"Putting yourself at risk puts everyone at risk. 

Help limit the spread of COVID-19.",[],govcanhealth,NoChange,equal
2020-08-26,Entering Canada? Download the ArriveCAN app and submit your mandatory #COVID19 information within 48 hours before reaching the border. You’ll spend less time in line and limit your physical contact with others: https://t.co/FSq1i8ZOnI https://t.co/KcbDixfKfj,['covid19'],govcanhealth,NoChange,equal
2020-08-26,@tristantryblink @environmentca @tristantryblink  You should wash your hands with soap and warm water for at least 20 seconds before and after handling food and food packaging. Get more #COVID19 food safety tips here: https://t.co/3Ne3a1jHgW,['covid19'],govcanhealth,NoChange,equal
2020-08-26,"@Empathyyyyyyy @CPHO_Canada Under the current emergency order, a negative test result for COVID-19 does not exempt travellers entering Canada from the mandatory 14 day quarantine.",[],govcanhealth,NoChange,equal
2020-08-26,@navthapa29 @CitImmCanada @CanBorder @TravelGoC (3/3) Please consult the following page for information for travellers without symptoms of COVID-19 returning to Canada: https://t.co/Jnbr6MisPs,[],govcanhealth,NoChange,equal
2020-08-25,LIVE: Federal ministers and health officials provide COVID-19 update https://t.co/lJBIykD9xi,[],govcanhealth,increas,equal
2020-08-25,@nisargpatel1504 3/3) Please consult the following page for information for travellers without symptoms of COVID-19 returning to Canada: https://t.co/Jnbr6MisPs,[],govcanhealth,increas,equal
