date,tweet,hashtags,account,Mylabel,label
2020-09-25,"The Dementia Community Investment is looking for evidence-based, virtual, community-based projects that help address the challenges of #COVID19 and contribute to the wellbeing of those living with #dementia and caregivers. 

Learn more: https://t.co/t9Ljyjd8rv https://t.co/RBo8t2pK2u","['covid19', 'dementia']",govcanhealth,increas,decrease
2020-09-25,"For the latest research on health promotion, chronic disease prevention and the #COVID19 pandemic in Canada, look to the #HPCDP Journal’s rapid release series, available online now. Learn more: https://t.co/RWlbUz2LAW https://t.co/79V3pKBOo2","['covid19', 'hpcdp']",govcanhealth,increas,decrease
2020-09-25,"We are dedicated to protecting Canadians from #COVID19. We must trust in #science to lead the fight until a safe and effective vaccine becomes available. Until then, we must keep our guard up.  

Details: https://t.co/wkH2tvglK2 #ThroneSpeech https://t.co/WW3D6omxp6","['covid19', 'science', 'thronespeech']",govcanhealth,increas,decrease
2020-09-25,"Become a #FluWatcher and help us track the #flu and #COVID19. It’s fast and anonymous! Sign up today here:
https://t.co/ZtFVxqYLNK https://t.co/rKu2O1sBQz","['fluwatcher', 'flu', 'covid19']",govcanhealth,increas,decrease
2020-09-25,"Avoid the red!

Stay safe and protect yourself, your family and your community from #COVID19.

-Continue #PhysicalDistancing
-Keep within your #SocialBubble
-Avoid high-risk activities

Learn more: https://t.co/WZqUlfaVIA https://t.co/OWkBvs1ngu","['covid19', 'physicaldistancing', 'socialbubble']",govcanhealth,increas,decrease
2020-09-25,"Substance use and the #COVID19 pandemic: a conceptual model on how they intersect? Learn more through the #HPCDP Journal’s rapid release series, available online now. https://t.co/y2SsYVDmHz https://t.co/1ZInA4JU6E","['covid19', 'hpcdp']",govcanhealth,increas,decrease
2020-09-24,"Since the emergence of #COVID19, the @CanadianForces has been helping Canadians across Canada and around the world, while ensuring the safety of their members and their families. 

Learn more about the #CAF response to the COVID-19 pandemic: https://t.co/gZtKGs49Ov 

#CCDReport https://t.co/AtLCjgeHiV","['covid19', 'caf', 'ccdreport']",govcanhealth,increas,decrease
2020-09-24,Just released: A new rapid release article in the #HPCDP Journal  explores the link between the #COVID19 pandemic and exposure calls to Canadian poison centres. Read it here: https://t.co/EECAdG1PHp https://t.co/yW8U0nGFCn,"['hpcdp', 'covid19']",govcanhealth,increas,decrease
2020-09-23,"Entering #Canada from abroad?
 
1. Download the ArriveCAN app.
2. Submit your mandatory #COVID19 info through the app within 48 hrs before your arrival
3. Go immediately to your place of #quarantine for 14 days.  

Download the app: https://t.co/4lsMB12Otw https://t.co/DNz6Chs8ex","['canada', 'covid19', 'quarantine']",govcanhealth,increas,decrease
2020-09-22,"LIVE: Federal officials release updated #COVID19 modelling
https://t.co/CJzozvAY3g",['covid19'],govcanhealth,increas,decrease
2020-09-22,"To support public health authorities with the latest scientific evidence, expert opinion and strategies to reduce the spread of #COVID19, #PHAC has updated its guidance on public health management of cases and contacts of COVID-19.

Get more information: https://t.co/uaWcZNx2Ap","['covid19', 'phac']",govcanhealth,increas,decrease
2020-09-21,"Using the #COVIDAlert app, people in #Saskatchewan who receive a positive COVID-19 test result will be given a one-time key from a health care provider. Download today:
Apple: https://t.co/fVgpTHzC35
Android: https://t.co/byWgV96l0W https://t.co/y3B2BfzadL","['covidalert', 'saskatchewan']",govcanhealth,decreas,increase
2020-09-20,"If someone in #NewBrunswick tests positive for #COVID19, they will receive a one-time key that can be entered in the #COVIDAlert app, which then notifies other app users who might have come in close contact with them.
https://t.co/HW3QFIYNc3 https://t.co/5hhgYIin60","['newbrunswick', 'covid19', 'covidalert']",govcanhealth,increas,decrease
2020-09-19,"#NewBrunswick: the #COVIDAlert exposure app is a safe and effective tool to prevent the spread of #COVID19. It does not track your location. Learn more about it:
https://t.co/OtFjyAD3gG https://t.co/AG4a3PAh7l","['newbrunswick', 'covidalert', 'covid19']",govcanhealth,increas,decrease
2020-09-19,"Symptoms of #COVID19 &amp; signs of irritation due to #wildfire smoke can be similar. People with respiratory conditions should contact their healthcare provider if they are worried.

Consult our COVID-19 self-assessment tool &amp; your public health authority. https://t.co/PMkBWVISN0 https://t.co/0sh9dn3k25","['covid19', 'wildfire']",govcanhealth,increas,decrease
2020-09-19,"#COVIDAlert is Canada's national #COVID19 exposure notification app, now available in #Saskatchewan. Do your part to keep your community safe and download the app today: 
Apple: https://t.co/363o6wTYw4
Android: https://t.co/yX9XX2QlFu https://t.co/DCmoW3nTmS","['covidalert', 'covid19', 'saskatchewan']",govcanhealth,increas,decrease
2020-09-18,"Let’s do our part to stay ahead of the virus. Get the COVID Alert app so that, together, we can limit the spread of COVID-19. Download it here:  https://t.co/l7w6ZS51Yk",[],govcanhealth,increas,decrease
2020-09-18,"Let’s do our part to stay ahead of the virus. Get the COVID Alert app so that, together, we can limit the spread of COVID-19. Download it here:  https://t.co/l7w6ZS51Yk",[],govcanhealth,increas,decrease
2020-09-18,"Family and friends outside of Canada often cross the border for #RoshHashanah and #YomKippur. Due to #COVID19, a reminder that the Canadian border remains closed to non-exempt foreign nationals and returning Canadians must quarantine for 14 days. 
https://t.co/GjZMIxMY1I https://t.co/r8HB9ebTzM","['roshhashanah', 'yomkippur', 'covid19']",govcanhealth,increas,decrease
2020-09-18,"The #COVIDAlert app is now available in #Saskatchewan. The app will notify you if you’ve recently been exposed to someone with #COVID19.

Download it today:
Apple: https://t.co/KdI3A6p0Su
Android: https://t.co/EKBC874HDy https://t.co/VmnwgNZq19","['covidalert', 'saskatchewan', 'covid19']",govcanhealth,increas,decrease
2020-09-18,"The #COVIDAlert app is now available in #NewBrunswick. The app will notify you if you've recently been exposed to someone with #COVID19.
Download it today:
- Apple: https://t.co/pdLVI44DLH
- Android: https://t.co/nROqpTjZvW https://t.co/6NcVds5Rxd","['covidalert', 'newbrunswick', 'covid19']",govcanhealth,increas,decrease
2020-09-18,LIVE: Federal ministers and health officials provide #COVID19 update https://t.co/l1IUbb0VTF,['covid19'],govcanhealth,increas,decrease
2020-09-18,"Taking precautions during #COVID-19? Do the same with your #BBQ brush.

Wire bristles can loosen, ending up in your food and causing severe injuries to your mouth, throat and digestive system.

For more tips: https://t.co/RzOhs9htll https://t.co/bctc4v0lTD","['covid', 'bbq']",govcanhealth,increas,decrease
2020-09-18,"How do you stay safe from #COVID19 while going out?
 
Here’s a tip: you can reduce your risk in public settings by limiting the frequency and length of your outings and avoiding high-risk activities.
 
For more tips and information on how to #GoOutSafe : https://t.co/jgMCWHgE2d https://t.co/OSw8WVc1Lw","['covid19', 'gooutsafe']",govcanhealth,increas,decrease
2020-09-17,"New research: Has the #COVID19 pandemic had an impact on pediatric emergency department visits? Find out in the most recent rapid release article from the #HPCDP Journal. Read it here:
https://t.co/xdqYLQlAfh https://t.co/mRgDdUKpP0","['covid19', 'hpcdp']",govcanhealth,increas,decrease
