date,tweet,hashtags
2020-10-09,"The latest CDC #COVIDView report shows that the overall percentage of people testing positive for #COVID19 decreased nationally last week, but percentages increased slightly in children ages 5 – 17 and adults 65 and older: https://t.co/zP4VYlo0Pb. https://t.co/WpP0I9HAPE","['covidview', 'covid19']"
2020-10-09,"Never drive through flooded areas. As little as six inches of water can cause you to lose control of your car. Turn around, don’t drown! https://t.co/EltqauWJEs https://t.co/4xB2X0REKo",[]
2020-10-09,"Young adults have several factors influencing their risk of being exposed to #COVID19, including perceived low severity of disease outcome and exposure to conflicting messages about the need for and effectiveness of masks, according to new @CDCMMWR. https://t.co/1mNNDrbLCi https://t.co/8hf2F70bZH",['covid19']
2020-10-09,"A @CDCMMWR finds percentage of positive #COVID19 tests in hotspot counties went up first in younger adults, then in older adults who may be at higher risk. The report highlights the need to reduce the spread of #COVID19 among younger adults. More:  https://t.co/8SeuXphsOk. https://t.co/qmsE0DVU9d","['covid19', 'covid19']"
2020-10-09,"As of October 5, national forecasts predict 2,800 to 6,800 new #COVID19 deaths will be reported during the week ending October 31. These forecasts predict 224,000 to 233,000 total COVID-19 deaths in the United States by October 31. More: https://t.co/Ft6cgmaMPX. https://t.co/d3nFQA3Ne7",['covid19']
2020-10-09,"Public Health Professionals: Looking for more contact tracing resources? Check out https://t.co/wRf8gtHBSJ.
#PublicHealth #SlowtheSpread https://t.co/awERdoBmk2","['publichealth', 'slowthespread']"
2020-10-09,"New CDC study finds #fluvaccine reduced risk of flu hospitalization in children, even though the vaccine was not well matched with one of the circulating viruses. Flu vaccine is the best way to protect children from flu. See the study: https://t.co/hRUu7XsegA. @AmerAcadPeds https://t.co/BzV1HysJy7",['fluvaccine']
2020-10-08,"Among people exposed to #COVID19 in their home, children were infected at similar rates as adults but developed less severe illness. Protect your community. Wear a mask. Stay 6 feet from others. Wash your hands. Learn more: https://t.co/edPyoB9n8V. https://t.co/hy0ECZE0wv",['covid19']
2020-10-08,"Salmonella onion outbreak is over. A total of 1,127 people in 48 states got sick. Recalled onions should no longer be in stores, but they have a long shelf-life and may still be in your kitchen. If you have recalled onions throw them out.  https://t.co/Ujffk5JFcz. https://t.co/I3iJOoWzPO",[]
2020-10-08,A10: You can also find #COVID19 videos to share via YouTube or download here: https://t.co/QV0OPdgAO6. #HealthyLatinos,"['covid19', 'healthylatinos']"
2020-10-08,A10: We invite everyone to share #COVID19 social media messages in English and Spanish. You can find the Spanish-language social media toolkit here: https://t.co/vJZTJk4I1k. #HealthyLatinos,"['covid19', 'healthylatinos']"
2020-10-08,A10: Much of CDC’s #COVID19 website is available in Spanish as well as other languages. https://t.co/4NwUnrFoNO #HealthyLatinos,"['covid19', 'healthylatinos']"
2020-10-08,"A9: To end the #COVID19 pandemic, we need everyone to do their part. When we communicate and interact in ways that demonstrate respect for language and culture, we promote understanding and cooperation and decrease stigma. #HealthyLatinos","['covid19', 'healthylatinos']"
2020-10-08,A8: Hispanics/Latinos can learn more about clinical trials and participating here: https://t.co/07BBngQu4L. #HealthyLatinos,['healthylatinos']
2020-10-08,"A7: When participants in studies better reflect the diversity of our overall population, we have a stronger understanding of how disease and potential therapies affect all people, and if therapies are safe and effective. #HealthyLatinos",['healthylatinos']
