date,tweet,hashtags
2020-10-09,"You can help provide valuable information to track the #flu and #COVID19 across 🇨🇦. The more participants, the better our data. Sign up today: https://t.co/t64SrO1Wvk https://t.co/1mzVjMu0AR","['flu', 'covid19']"
2020-10-09,#RECALL Pier 1 Three-wick Halloween candles recalled due to fire and burn hazards. https://t.co/3iTS6DcAsh,['recall']
2020-10-09,"#PrinceEdwardIsland - keep your community safe by downloading the #COVIDAlert app. You will receive an alert if you've been exposed to #COVID19. 
Available on Apple: https://t.co/UCmzugS2lR
and Android: https://t.co/JgHnLO9Ueh https://t.co/w6dbP6t7YM","['princeedwardisland', 'covidalert', 'covid19']"
2020-10-09,"The #COVIDAlert app is now available in #Quebec. Users who test positive for #COVID19 can notify those they may have come in contact with.
Apple: https://t.co/j3chDsjpHy
Android: https://t.co/hxOdwJw3GS https://t.co/VlkwqysVQx","['covidalert', 'quebec', 'covid19']"
2020-10-09,#FluWatchers normally tracks the #flu. But we are also using this volunteer program to track #COVID19. Sign up today! https://t.co/OgtkOtjY7T https://t.co/xEgCXxC3Ap,"['fluwatchers', 'flu', 'covid19']"
2020-10-09,"With our kids back to school, you can help prevent the spread of #COVID19 and track your physical and mental health with these great apps: 
https://t.co/uZjTLKiQlE
#BackToSchool2020 https://t.co/0S95NBhRnW","['covid19', 'backtoschool2020']"
2020-10-09,"#COVIDAlertFact: Unless we work together to slow the spread of #COVID19, the situation is on track for a big resurgence in several provinces. You can help contain the virus by downloading the #COVIDAlert app: https://t.co/hBgPF8FnHA https://t.co/feC6PXx2ZY","['covidalertfact', 'covid19', 'covidalert']"
2020-10-08,"4 million Canadians have downloaded the #COVIDAlert app. 📱 How fast can we get to 5 million? Download it today: https://t.co/fzxaMSbCpO
#COVID19 https://t.co/4cuBuj74Bn","['covidalert', 'covid19']"
2020-10-08,"Starting today, a person can apply to #travel to Canada for compassionate reasons in specific circumstances. Learn about eligibility requirements: https://t.co/mhlVUUi2t5 https://t.co/74MaLaa6vl",['travel']
2020-10-08,"The #COVIDAlert app has launched in #PrinceEdwardIsland. The app will notify you if you’ve recently been exposed #COVID19.
Download it today:
Apple: https://t.co/2mDEfhTLoC
Android: https://t.co/tw0mE95NvQ https://t.co/2iDLW6iulf","['covidalert', 'princeedwardisland', 'covid19']"
2020-10-08,"Ticks like to hide in piles of leaves, shrubs and tall grass. Don’t be fooled. Ticks can be as small as a poppy seed! There are many things you can do to reduce ticks in your backyard and around your home to prevent tick bites. https://t.co/x6MA0WYL9M https://t.co/9VhCWBI4Gz",[]
2020-10-08,"Do you have a #mask? Choosing a reusable mask rather than a disposable one is better for the #environment and can help you reduce the spread of #COVID19. Buy one or make your own. It’s easy! More:
https://t.co/RMx8zxKKvj https://t.co/XTBFlgXJuQ","['mask', 'environment', 'covid19']"
2020-10-08,"Canadians who smoke a pack per day can spend over $5,000 a year on smoking! Want to improve your health and save money? Find out how much you spend on #cigarettes using a cost calculator: https://t.co/SNrtMYAsJC https://t.co/doNqZpg9em",['cigarettes']
2020-10-08,Thanksgiving is a time for family and a time for thanks. Enjoy time with your in-person bubble this holiday. Help limit the spread of #COVID19 and keep each other safe. https://t.co/OtklgRSzLx https://t.co/E8dkrYd1v1,['covid19']
2020-10-08,We’re joining @jackdotorg for a special edition of #DoSomething – a series of small initiatives that can make a big difference in promoting positive #MentalHealth. Find out how to get involved: https://t.co/QsCry0hh4h #WellnessForAll https://t.co/Zk7DvA8YX3,"['dosomething', 'mentalhealth', 'wellnessforall']"
2020-10-08,"#COVIDAlertFact: ✔️ The app is compatible with 92% of phones in use in Canada.  It’s easy to use and install. As it becomes available in your region, it’s one of the many things you can do to help slow the spread of #COVID19: https://t.co/2ex4Z48XFr https://t.co/HQE0A5YwR3","['covidalertfact', 'covid19']"
2020-10-08,"What you eat on a regular basis matters for your health. By making cooking part of your routine, you can eat meals and snacks that use healthy ingredients. https://t.co/jrF9aL8SmC #CanadasFoodGuide https://t.co/pfsN88bdUI",['canadasfoodguide']
2020-10-08,"Together, we can help eliminate the stigma associated with #MentalIllness. Open up the conversation about mental health and learn more: https://t.co/WS9eioevxe #MIAW2020 https://t.co/ufDOQaloga","['mentalillness', 'miaw2020']"
2020-10-08,"The #FluShot protects you, your family, friends, and community. This year it’s more important than ever to get your flu shot, ideally between October and December, so that you’re protected during the height of the #FluSeason. https://t.co/aGWiombCUX\ https://t.co/Fl8tXVjz1k","['flushot', 'fluseason']"
2020-10-07,"The #COVIDAlert app now has over 3.9 million downloads, 6 provinces on board and 984 one-time keys entered. Find out more about the app usage:
https://t.co/qxhmy0bX7v
#COVID19 https://t.co/IF76wr2MO1","['covidalert', 'covid19']"
2020-10-07,"Protect yourself from #tobaccosmoke to significantly reduce your risk of #chronicdiseases like cancer, heart and respiratory diseases. #QuitSmoking
https://t.co/DdzEJJeitZ https://t.co/6LQPNLGLbd","['tobaccosmoke', 'chronicdiseases', 'quitsmoking']"
2020-10-07,#RECALL CB2 Bordo and Bordo XL Tables recalled due to physical hazard https://t.co/kPv58FAgIW,['recall']
2020-10-07,"So far in 2020, there have been over 40 kitchen fire events reported in Canada. This year for #FirePreventionWeek, serve up fire safety in the kitchen! https://t.co/DpkKFleW5z https://t.co/ye0bzvzICi",['firepreventionweek']
2020-10-07,#COVIDAlertFact: ✔️ The app only detects if you’ve had contact with someone who’s reported positive to the app. It doesn’t track any personal info or location. Help slow the spread of #COVID19: https://t.co/K7x517I65S https://t.co/RnRsHZ1LiC,"['covidalertfact', 'covid19']"
2020-10-07,"@Flutflut1 Hi, For more information about border measures for travellers, we suggest you visit this page: https://t.co/aJsGyGh23Z",[]
2020-10-07,"We’re looking for virtual community-based projects that will help address the challenges of #COVID19 for people living with #dementia and caregivers in Canada. 

For more information on eligibility and  how to submit a proposal, visit: https://t.co/DRKxXS9TIo https://t.co/9E4hM3g0OJ","['covid19', 'dementia']"
2020-10-07,Traveling for the holidays? Remember to wear your mask when traveling and practice #PhysicalDistancing. Stay updated with your local public health guidelines and stay home if you’re feeling sick. #TravelSafe https://t.co/g79jQbZtoe https://t.co/8S0O2nwR5V,"['physicaldistancing', 'travelsafe']"
2020-10-07,"⚠️ Mosquito season is not over yet.

Avoid mosquito bites by using insect repellent containing DEET or Icaridin. 

Learn more: https://t.co/AjEnJR8LmE #WestNileVirus https://t.co/ARHpdzGlgb",['westnilevirus']
2020-10-07,"Stay updated so you can make informed decisions.
Check out #COVIDTrends to instantly get a snapshot #COVID19 cases and deaths in your region from the past 14 days. 
https://t.co/2nIAyRy9Ol https://t.co/titHynQE2f","['covidtrends', 'covid19']"
2020-10-07,"#Quebec - protect your community by downloading the #COVIDAlert exposure notification app. You will receive an alert if you've been exposed to #COVID19.
Available on Apple: https://t.co/pE8ccNcItq
and Android: https://t.co/uZenJnSBI7 https://t.co/PWMwRb8d2f","['quebec', 'covidalert', 'covid19']"
