date,tweet,hashtags
2020-10-09,Some companies offered hero pay to essential workers at the outset of the pandemic but most wage premiums ended as the first wave ebbed. https://t.co/XLWuNN9xTe,[]
2020-10-09,Wallen was removed as the musical guest after TikTok videos showed him partying last weekend without a mask on among a group of people in Alabama. https://t.co/J2pzrKCrz3,[]
2020-10-09,"As many as 171 nations have joined the WHO's COVAX program to back equitable access to COVID-19 vaccines for rich and poor countries alike.
The U.S. and Russia have not. https://t.co/NIbopz04Rl",[]
2020-10-09,Chief Public Health Officer Theresa Tam says it's vital that Canadians limit their contacts and deny the coronavirus opportunities to spread. https://t.co/L4yn67urks @OttawaReporter,[]
2020-10-09,The federal government says targeted aid is coming for some businesses hit by closures as a second wave of COVID-19 hits parts of the country. https://t.co/xWV2cjf7Sd,[]
2020-10-09,"COVID-19 update: Trudeau, public health officials address Canadians https://t.co/5ShEFJJlyv",[]
2020-10-09,The COVID-19 pandemic has sped up innovation as farmers spend more time with digital tools and programs. https://t.co/nC3rgQnxkx @KyleBakx,[]
2020-10-09,"Many people have been looking to Canada’s East Coast with envy as its number of COVID-19 cases remains low. 
Some aren't just looking. 
They're moving to the Atlantic bubble permanently. https://t.co/nVjsnn3fxv @AnjuliCBC",[]
2020-10-09,Ontario Premier Doug Ford's cabinet is expected to hold an emergency meeting to consider tighter measures to try to contain the spread of the coronavirus. https://t.co/sNsLpzpPop @CBCQueensPark,[]
2020-10-09,A new daily increase in COVID-19 patients admitted into critical care this week is a spike not seen in Ontario since June. https://t.co/ThowihJyQ0 @LaurenPelley,[]
2020-10-08,The theatre company says staff have spent months consulting with artists' associations and a team of medical experts to find ways to offer theatrical experiences within the constraints of COVID-19 safety precautions. https://t.co/bqpCmSyM17,[]
2020-10-08,"Alberta reported 364 new cases of COVID-19, the highest new-case count ever in that province and two new deaths. https://t.co/Oxca8mYfrY",[]
2020-10-08,Ontario and the World Health Organization report single-day record for new COVID-19 cases. https://t.co/9QyYauNSC7,[]
2020-10-08,"The pandemic is pushing more and more Canadians online to work and shop, demonstrating the need for better laws on data use and privacy, says Privacy Commissioner Daniel Therrien. https://t.co/deIt4CXyAf @cattunneycbc",[]
2020-10-08,Ottawa has lifted COVID-19 cross-border travel restrictions for a wider range of family members. https://t.co/9QyYauNSC7,[]
2020-10-08,"Depending on where you live in Canada, an ""avalanche of information"" is making it harder to navigate conflicting COVID-19 guidelines from different levels of government and public health officials. https://t.co/MBFETmZvsD @adamsmiller",[]
2020-10-08,"Mike Pence defended the Trump administration's approach to the coronavirus outbreak.
Kamala Harris called the effects of the COVID-19 pandemic on the U.S. ""the greatest failure of any presidential administration in the history of our country."" https://t.co/SHZgWCIztf",[]
2020-10-08,Health officials urge Ontarians to celebrate Thanksgiving with only people in their own homes this year amid soaring COVID-19 cases. https://t.co/AxY1EabqCV @LaurenPelley,[]
2020-10-08,"Quebec Premier François Legault says it is not easy to make such decisions, but he has had no choice but to take steps to slow the spread of COVID-19. https://t.co/5pbdnKXAye",[]
2020-10-08,The organization has decided to suspend its safe ride program due to COVID-19. https://t.co/X4FGKdt5oK,[]
2020-10-08,The news came after the vice commandant of the coast guard tested positive for the coronavirus. https://t.co/qC6lMCdSSl,[]
2020-10-08,"Physical distancing rules during the pandemic increase risk of fraud exposure, watchdog says. https://t.co/dkDqEXsYcP",[]
2020-10-07,"Canada's average daily count of new COVID-19 cases topped 2,000 over last 7 days. https://t.co/lOwRV6T27z",[]
2020-10-07,Battle of the Blades' upcoming season is being put on hold after an unidentified member of the production team tested positive for COVID-19. https://t.co/00MyQom4PU,[]
2020-10-07,"Ontario reported another 583 cases of COVID-19 on Wednesday, and the number of people in Ontario hospitals with confirmed cases continued its steady rise. https://t.co/eRnL2bo8Lf",[]
2020-10-07,"Tonight's showdown between Kamala Harris and Mike Pence will reveal contrasting attitudes to the COVID-19 pandemic. 
It's why Harris has demanded that protective glass be placed between her and Pence. https://t.co/paG6gJCoor @Alex_Panetta",[]
2020-10-07,"The race to secure a vaccine against COVID-19 has pitted country against country, which could undermine efforts to control the virus worldwide. https://t.co/81iscYHVma",[]
2020-10-07,The New York Rangers have selected Alexis Lafreniere with the first pick in the NHL's pandemic-delayed draft. https://t.co/iu6DTwpDex,[]
2020-10-07,"There are 1,384 active cases of people infected with COVID-19 in B.C.
https://t.co/R2ug3LLedc",[]
2020-10-06,"A military statement released late today says there have been 222 positive cases of the novel coronavirus across the entire Armed Forces, at home and abroad, since the pandemic began. https://t.co/x6v7TjekFH",[]
2020-10-06,Markets were higher for most of the day until late in the afternoon when Trump said he has instructed aides to stop negotiating on another round of COVID-19 relief until after the election. https://t.co/Hd8qWDLvPu,[]
2020-10-06,Chairman of the Joint Chiefs of Staff Gen. Mark Milley is among top U.S. military leaders in quarantine after an official tested positive for COVID-19. https://t.co/mzcn4KI8zu,[]
2020-10-06,Contact tracing efforts are being ramped up in an effort to curb surging transmission rates in some of Canada's COVID-19 hot spots. https://t.co/XVTisawQB7,[]
2020-10-06,COVID-19 has many people wondering just how they're going to celebrate Thanksgiving this year. Officials and health experts are weighing in. https://t.co/WwFIdosudr,[]
2020-10-06,#Opinion: Canada can play role in building solidarity around the equitable global rollout of a COVID-19 vaccine. https://t.co/dCwfxHhALx,['opinion']
2020-10-06,COVID-19 update: Ministers and public health officials address Canadians https://t.co/AgNiYbJtQI,[]
2020-10-06,Health Canada regulators today approved another rapid COVID-19 test — the first antigen device to receive the necessary approvals for use in this country. https://t.co/dLeSPlFQpu @JPTasker,[]
2020-10-06,"""The president has access to the best medical care in the world, along with a helicopter to transport him to the hospital as needed. The rest of us who don't have such ready access to care should continue to worry about COVID.” https://t.co/7v6pQiDEKR",[]
2020-10-06,COVID-19 tests done in Ontario pharmacies are being sent to a lab in California for processing. https://t.co/YYe39b4aei,[]
2020-10-06,"The new rules will stay in place as long as the region is at the restricted pandemic response level, Chief Provincial Public Health Officer Dr. Brent Roussin said. https://t.co/rbrlCbfCtA",[]
2020-10-05,"Ontario, Manitoba, Saskatchewan, New Brunswick and Newfoundland and Labrador and are already using COVID Alert, which has been downloaded by nearly three million people. https://t.co/2yFlNiwrcL",[]
2020-10-05,"There will be a church service at St. Michael's Cathedral Basilica in Toronto that will strictly follow public health protocols, including mask wearing, sanitizing and physical distancing. https://t.co/lKdZg2J2vn",[]
2020-10-05,Prime Minister Justin Trudeau promised federal support for contact tracing and COVID-19 testing. https://t.co/3pNTDZMbph,[]
2020-10-05,U.S. President Donald Trump says he's leaving the hospital Monday evening after a three-day stay to treat symptoms of COVID-19. https://t.co/YFe4MLJ9Dl,[]
2020-10-05,"Canada put health-care workers at risk of contracting COVID-19 because it failed to learn lessons from Severe Acute Respiratory Syndrome in 2003, a new report says. https://t.co/WA6znrQuCp",[]
