date,tweet,hashtags
2020-10-09,"The new infections reported Friday bring the number of COVID-19 cases in Canada to 177,931.
https://t.co/iQcjE9ctXn",[]
2020-10-09,"With COVID-19 restrictions in place, Thanksgiving looks different this year. 
Share with us in the comments below what you are most thankful for.

RELATED: https://t.co/h4zNgkbcrt https://t.co/04bL871LtV",[]
2020-10-09,"Experts say a recent spike in #COVID19 cases should not be shrugged off. 

https://t.co/5jsISzUR2X",['covid19']
2020-10-09,"On Business as Unusual, Global News Weekend host @Aalia_Adam finds out how small businesses are coping with the impact of the pandemic. 

Watch it on Saturdays with the #GlobalTVApp or Amazon Prime Video. 

Also see: https://t.co/h0w7ZiC4jD https://t.co/nl36TsGFQQ",['globaltvapp']
2020-10-09,The federal government outlined plans to help Canadian businesses suffering during the coronavirus pandemic. https://t.co/H76MltSuOo,[]
2020-10-09,"#BREAKING: The coronavirus pandemic is expected to accelerate unless Canadians reduce their contact with others, Health Canada’s latest modelling shows. 

https://t.co/foviDrLGHh",['breaking']
2020-10-09,"Country star @MorganWallen has been replaced by rocker Jack White on @NBCsnl's Oct. 10 episode after Wallen was seen on TikTok taking shots and not wearing a mask. (corrected tweet)

https://t.co/WglgfMcF5i",[]
2020-10-09,"WATCH LIVE: Prime Minister Justin Trudeau, health officials give COVID-19 update https://t.co/OvfZWqQnfL",[]
2020-10-09,Country star @MorganWallen has been replaced by rocker Jack White on @NBCsnl's Oct. 11 episode after Wallen was seen on TikTok taking shots and not wearing a mask https://t.co/SLj7PJLCRv,[]
2020-10-09,"Quebec reported 1,102 new cases of COVID-19 on Friday. 

https://t.co/QfN227muCc",[]
2020-10-09,"Watch Live: The World Health Organization speaks with media as coronavirus cases soar worldwide
https://t.co/cTsKwTHJtw",[]
2020-10-09,"Ontario is reporting 939 new cases of coronavirus, surpassing the previous highest single-day case record in Ontario. 

https://t.co/B1eA4ZG2q8",[]
2020-10-09,"Sophie is self-isolating at home after coming into contact with someone who has since tested positive for COVID-19.

https://t.co/P7BWxdHRnM",[]
