id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1317221132995538946,1317221132995538946,2020-10-16 18:49:25 Atlantic Daylight Time,2020-10-16,18:49:25,-0300,146569971,cdcgov,CDC,,The latest CDC #COVIDView report shows that every region in the United States is reporting an increase in the percentage of medical visits for illnesses with symptoms similar to those associated with #COVID19 illness. Learn more: https://t.co/zP4VYlo0Pb https://t.co/N03x7RTYbL,en,[],['https://bit.ly/2ViFflZ'],['https://pbs.twimg.com/media/Eke1o5TWAAIyBgi.jpg'],16,27,43,"['covidview', 'covid19']",[],https://twitter.com/CDCgov/status/1317221132995538946,,,1,https://pbs.twimg.com/media/Eke1o5TWAAIyBgi.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317208955639238656,1317208955639238656,2020-10-16 18:01:02 Atlantic Daylight Time,2020-10-16,18:01:02,-0300,146569971,cdcgov,CDC,,"As of October 12, national forecasts predict 3,400 to 7,100 new #COVID19 deaths will be reported during the week ending November 7. These forecasts predict 229,000 to 240,000 total COVID-19 deaths in the United States by November 7. More: https://t.co/Ft6cgmaMPX https://t.co/yvyfpkBtTH",en,[],['https://bit.ly/3cKQIl4'],['https://pbs.twimg.com/media/EkeqkF0WAAIhQQj.jpg'],19,45,47,['covid19'],[],https://twitter.com/CDCgov/status/1317208955639238656,,,1,https://pbs.twimg.com/media/EkeqkF0WAAIhQQj.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317201199796543489,1317201199796543489,2020-10-16 17:30:13 Atlantic Daylight Time,2020-10-16,17:30:13,-0300,146569971,cdcgov,CDC,,"This #Halloween, take steps to protect yourself and others against #COVID19 and #flu. #WearAMask, wash your hands, stay outdoors, and stay at least 6 feet apart from other trick-or-treaters. More tips: https://t.co/37PPKvcBVr. https://t.co/RVG7F4QXLb",en,[],['https://bit.ly/33WSfSr'],['https://pbs.twimg.com/media/EkejgWaXYAEIUCy.jpg'],12,79,99,"['halloween', 'covid19', 'flu', 'wearamask']",[],https://twitter.com/CDCgov/status/1317201199796543489,,,1,https://pbs.twimg.com/media/EkejgWaXYAEIUCy.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317185300448350213,1317185300448350213,2020-10-16 16:27:02 Atlantic Daylight Time,2020-10-16,16:27:02,-0300,146569971,cdcgov,CDC,,"Health Departments: Looking for #COVID19 contact tracing infographics? Check here: https://t.co/WJnwG8AkjT.

#PublicHealth #SlowtheSpread https://t.co/sY9gzO8bLd",en,[],['https://bit.ly/3dAcppb'],['https://pbs.twimg.com/media/EkeVDM7WMAAnKq7.jpg'],8,17,34,"['covid19', 'publichealth', 'slowthespread']",[],https://twitter.com/CDCgov/status/1317185300448350213,,,1,https://pbs.twimg.com/media/EkeVDM7WMAAnKq7.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317178769162096640,1317178769162096640,2020-10-16 16:01:05 Atlantic Daylight Time,2020-10-16,16:01:05,-0300,146569971,cdcgov,CDC,,"#HCPs: Point-of-Care (POC) tests can provide results within minutes, allowing for rapid decisions about care. When used correctly, POC tests can be used to diagnose #COVID19. Results from POC tests must be reported to public health. Learn more:  https://t.co/0YpijMXgPX. https://t.co/MPudVzgmp9",en,[],['https://bit.ly/2SWP1JI'],['https://pbs.twimg.com/media/EkePHCKXEAE4XKm.jpg'],5,19,40,"['hcps', 'covid19']",[],https://twitter.com/CDCgov/status/1317178769162096640,,,1,https://pbs.twimg.com/media/EkePHCKXEAE4XKm.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317167200843739137,1317167200843739137,2020-10-16 15:15:07 Atlantic Daylight Time,2020-10-16,15:15:07,-0300,146569971,cdcgov,CDC,,Salmonella outbreak linked to peaches is over. 101 people got sick in 17 states. Recalled peaches are past their shelf life and no longer available in stores. Always choose and handle fruit safely to prevent foodborne illness. Learn more: https://t.co/XRF2lrHHL6. https://t.co/AWVhvaKlBV,en,[],['https://bit.ly/2FImJ2e'],['https://pbs.twimg.com/media/EkeEln3XEAE5S6m.jpg'],7,88,119,[],[],https://twitter.com/CDCgov/status/1317167200843739137,,,1,https://pbs.twimg.com/media/EkeEln3XEAE5S6m.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317150335199268864,1317150335199268864,2020-10-16 14:08:06 Atlantic Daylight Time,2020-10-16,14:08:06,-0300,146569971,cdcgov,CDC,,A new @CDCMMWR on #COVID19 deaths in the United States finds that people who are Black or African American or who are Hispanic or Latino represent more than 4 out of 10 deaths despite representing about 3 out of 10 in the U.S. population. Learn more: https://t.co/M63QCHAxJl. https://t.co/bF5Zg169sT,en,['cdcmmwr'],['http://bit.ly/MMWR101620'],['https://pbs.twimg.com/media/Ekd1P5cXIAIFgaZ.jpg'],22,48,61,['covid19'],[],https://twitter.com/CDCgov/status/1317150335199268864,,,1,https://pbs.twimg.com/media/Ekd1P5cXIAIFgaZ.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317135463304503303,1317135463304503303,2020-10-16 13:09:00 Atlantic Daylight Time,2020-10-16,13:09:00,-0300,146569971,cdcgov,CDC,,Do you do these 3 healthy habits? #WearAMask. Stay 6 feet apart from others who do not live in your household. Wash your hands for at least 20 seconds. Help protect yourself and others from #COVID19. Learn more: https://t.co/DmfPOB7nbu. https://t.co/NMgm1vqxLs,en,[],['https://bit.ly/3bGvO6p'],[],37,204,251,"['wearamask', 'covid19']",[],https://twitter.com/CDCgov/status/1317135463304503303,,,1,https://pbs.twimg.com/amplify_video_thumb/1317114973617872899/img/oc8PA8gPcQHbrrnC.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1317124146493591552,1317124146493591552,2020-10-16 12:24:02 Atlantic Daylight Time,2020-10-16,12:24:02,-0300,146569971,cdcgov,CDC,,New CDC data show non-Hispanic Black persons had nearly 2x the rate of #flu hospitalization compared to non-Hispanic White persons during the past 10 flu seasons. Learn more about what CDC is doing to address these disparities: https://t.co/xIJW83OECE. https://t.co/wOJ4XH1qBO,en,[],['https://bit.ly/2GU7xQF'],['https://pbs.twimg.com/media/EkddbjxWAAIADSK.jpg'],19,59,87,['flu'],[],https://twitter.com/CDCgov/status/1317124146493591552,,,1,https://pbs.twimg.com/media/EkddbjxWAAIADSK.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
1316835998274400257,1316835998274400257,2020-10-15 17:19:02 Atlantic Daylight Time,2020-10-15,17:19:02,-0300,146569971,cdcgov,CDC,,"It’s normal to feel sad, stressed or anxious right now. But it can be hard to take a break. Today, on 10/15, take 10-15 minutes to do something to care for yourself: https://t.co/QFkuE2TqaN. #HowRightNow https://t.co/Zi34bPOgOd",en,[],['https://bit.ly/36oPk87'],['https://pbs.twimg.com/media/EkZXXGuXsAAOb7r.jpg'],26,134,310,['howrightnow'],[],https://twitter.com/CDCgov/status/1316835998274400257,,,1,https://pbs.twimg.com/media/EkZXXGuXsAAOb7r.jpg,,,,,,,"{'user_id': None, 'username': None}",,,,
