date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
2020-01-01,CA,CA,Canada,,,,,CA,CAN,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Q16,country/CAN,1428125,56,-109,POINT(-109 56),-4.372222,-8.638889,-1.177778,0.141111,103.632
2020-01-02,CA,CA,Canada,,,,,CA,CAN,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Q16,country/CAN,1428125,56,-109,POINT(-109 56),-3.922222,-5.766667,-2.005556,0.145143,102.87
2020-01-03,CA,CA,Canada,,,,,CA,CAN,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Q16,country/CAN,1428125,56,-109,POINT(-109 56),-9.277778,-13.044444,-3.533333,0.705556,114.723333
2020-01-04,CA,CA,Canada,,,,,CA,CAN,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Q16,country/CAN,1428125,56,-109,POINT(-109 56),-8.522222,-10.972222,-4.905556,0.112889,102.235
2020-01-05,CA,CA,Canada,,,,,CA,CAN,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Q16,country/CAN,1428125,56,-109,POINT(-109 56),-11.944444,-18.494444,-4.305556,0.310444,117.856
2020-01-06,CA,CA,Canada,,,,,CA,CAN,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Q16,country/CAN,1428125,56,-109,POINT(-109 56),-13.6,-20.066667,-6.572222,0.028222,99.568
2020-01-07,CA,CA,Canada,,,,,CA,CAN,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Q16,country/CAN,1428125,56,-109,POINT(-109 56),-25.805556,-30.755556,-18.716667,0.056444,93.472
2020-01-08,CA,CA,Canada,,,,,CA,CAN,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Q16,country/CAN,1428125,56,-109,POINT(-109 56),-21.844444,-26.327778,-18.4,0.649111,102.235
2020-01-09,CA,CA,Canada,,,,,CA,CAN,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Q16,country/CAN,1428125,56,-109,POINT(-109 56),-22.555556,-26.761111,-18.772222,2.032,121.92
2020-01-10,CA,CA,Canada,,,,,CA,CAN,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Q16,country/CAN,1428125,56,-109,POINT(-109 56),-28.155556,-33.266667,-21.777778,0.3048,120.015
